,fighter_name,win_loss,avg_pct
0,Alexandre Pantoja,0.8,0.49
1,Shavkat Rakhmonov,1.0,0.61
2,Ciryl Gane,0.6522,0.6
3,Bryce Mitchell,0.7778,0.59
4,Nate Landwehr,0.625,0.5
5,Dominick Reyes,0.6364,0.57
6,Vicente Luque,0.7143,0.54
7,Movsar Evloev,1.0,0.48
8,Randy Brown,0.7222,0.48
9,Chris Weidman,0.6316,0.49
10,Cody Durden,0.6,0.5
11,Michael Chiesa,0.6316,0.6
12,Clay Guida,0.5128,0.396
13,Kennedy Nzechukwu,0.6429,0.47
14,Petr Yan,0.6923,0.62
15,Yan Xiaonan,0.7273,0.453059
16,Song Kenan,0.6,1.0
17,Wang Cong,1.0,0.59
18,Volkan Oezdemir,0.5714,0.597
19,Zhang Mingyang,1.0,0.57
20,Baergeng Jieleyisi,0.6667,0.38
21,Kiru Sahota,1.0,0.52
22,Shi Ming,1.0,0.39
23,Nyamjargal Tumendemberel,1.0,0.38
24,Lone'er Kavanagh,1.0,0.43
25,Xiao Long,0.5,0.52
26,Maheshate,0.6,0.29
27,Jon Jones,0.913,0.58
28,Charles Oliveira,0.6875,0.75
29,Bo Nickal,1.0,0.63
30,Viviane Araujo,0.5455,0.5
31,Mauricio Ruffy,1.0,0.59
32,Jonathan Martinez,0.7143,0.63
33,Jim Miller,0.6047,0.42
34,David Onama,0.6667,0.5
35,Marcin Tybura,0.6,0.537
36,Mickey Gall,0.5,0.56
37,Bassil Hafez,0.5,0.39
38,Veronica Hardy,0.5,0.45
39,Neil Magny,0.6667,0.54
40,Gerald Meerschaert,0.5714,0.473
41,Gaston Bolanos,0.5,0.5
42,Luana Pinheiro,0.6667,0.5
43,Mansur Abdul-Malik,1.0,0.54
44,Karolina Kowalkiewicz,0.5294,0.453059
45,Elizeu Zaleski dos Santos,0.7143,0.460321
46,Matthew Semelsberger,0.5,0.5
47,Cody Stamann,0.5385,0.58
48,Tresean Gore,0.3333,0.54
49,Melissa Mullins,0.5,0.56
50,Brandon Moreno,0.6429,0.72
51,Erin Blanchfield,0.8571,0.57
52,Caio Machado,0.3333,0.58
53,Ariane da Silva,0.5,0.41
54,Marc-Andre Barriault,0.4167,0.522
55,Mike Malott,0.8,0.46
56,Aiemann Zahabi,0.7143,0.460321
57,Charles Jourdain,0.4615,0.48
58,Jack Shore,0.75,0.58
59,Alexandr Romanov,0.6667,0.52
60,Serhiy Sidey,0.5,0.39
61,Chad Anheliger,0.6,0.46
62,Jamey-Lyn Horth,0.5,0.62
63,Ilia Topuria,1.0,0.48
64,Robert Whittaker,0.7727,0.460321
65,Magomed Ankalaev,0.9091,0.61
66,Lerone Murphy,1.0,0.54
67,Shara Magomedov,1.0,0.66
