,RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,WinnerName,Finish,FinishDetails,Date,Location,TitleBout,RedWins,RedWinsByKO,RedWinsBySubmission,RedWinsByDecision,RedLosses,BlueWins,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByDecision,BlueLosses,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,WeightClass,RedAvgSigStrLanded,RedAvgTDLanded,RedAvgSigStrPct,RedAvgSubAtt,BlueAvgSigStrLanded,BlueAvgTDLanded,BlueAvgSigStrPct,BlueAvgSubAtt,RedStance,BlueStance
0,Alexandre Pantoja,Kai Asakura,-250.0,215.0,Red,Alexandre Pantoja,SUB,Rear Naked Choke,2024-12-07,"Las Vegas, Nevada, USA",True,12,2,4,6,3,0,0,0,0,0,165.1,172.72,170.18,175.26,Flyweight,4.41,2.61,0.49,0.8,0.0,0.0,0.0,0.0,Orthodox,Orthodox
1,Shavkat Rakhmonov,Ian Machado Garry,-210.0,295.0,Red,Shavkat Rakhmonov,U-DEC,No Finish,2024-12-07,"Las Vegas, Nevada, USA",False,6,1,5,0,0,8,3,0,5,0,185.42,190.5,195.58,187.96,Welterweight,4.12,1.49,0.61,1.8,5.5,0.77,0.55,0.3,Orthodox,Orthodox
2,Ciryl Gane,Alexander Volkov,-380.0,300.0,Red,Ciryl Gane,S-DEC,No Finish,2024-12-07,"Las Vegas, Nevada, USA",False,9,4,2,3,2,12,6,1,5,4,193.04,200.66,205.74,203.2,Heavyweight,5.49,0.58,0.6,0.5,5.13,0.45,0.57,0.2,Orthodox,Orthodox
3,Bryce Mitchell,Kron Gracie,-950.0,625.0,Red,Bryce Mitchell,KO/TKO,Elbows,2024-12-07,"Las Vegas, Nevada, USA",False,7,0,1,6,2,1,0,1,0,2,177.8,175.26,177.8,177.8,Featherweight,2.3,3.45,0.58,1.6,3.74,0.47,0.44,0.5,Southpaw,Southpaw
4,Nate Landwehr,Dooho Choi,-130.0,110.0,Blue,Dooho Choi,KO/TKO,Elbows,2024-12-07,"Las Vegas, Nevada, USA",False,5,1,2,2,3,4,4,0,0,3,175.26,177.8,182.88,177.8,Featherweight,6.25,1.0,0.46,1.0,4.41,0.75,0.53,0.8,Orthodox,Orthodox
5,Dominick Reyes,Anthony Smith,-380.0,300.0,Red,Dominick Reyes,KO/TKO,Punches,2024-12-07,"Las Vegas, Nevada, USA",False,7,4,1,2,4,15,7,6,2,12,193.04,193.04,195.58,193.04,Light Heavyweight,4.87,0.35,0.5,0.3,3.24,0.46,0.49,0.6,Southpaw,Orthodox
6,Vicente Luque,Themba Gorimbo,-650.0,-162.0,Red,Vicente Luque,SUB,Anaconda Choke,2024-12-07,"Las Vegas, Nevada, USA",False,15,8,5,2,6,4,1,0,3,1,180.34,185.42,190.5,195.58,Welterweight,5.07,1.0,0.52,0.6,3.11,4.89,0.61,0.6,Orthodox,Orthodox
7,Movsar Evloev,Aljamain Sterling,-238.0,195.0,Red,Movsar Evloev,U-DEC,No Finish,2024-12-07,"Las Vegas, Nevada, USA",False,8,0,0,8,0,16,2,4,9,4,170.18,170.18,182.88,180.34,Featherweight,4.43,4.75,0.48,0.2,4.61,2.31,0.52,0.7,Orthodox,Orthodox
8,Randy Brown,Bryan Battle,150.0,-180.0,Blue,Bryan Battle,S-DEC,No Finish,2024-12-07,"Las Vegas, Nevada, USA",False,13,3,3,7,5,6,3,2,1,1,190.5,185.42,198.12,195.58,Welterweight,4.38,0.72,0.47,0.6,5.44,0.96,0.53,0.5,Orthodox,Orthodox
9,Chris Weidman,Eryk Anders,-112.0,-108.0,Blue,Eryk Anders,KO/TKO,Punches,2024-12-07,"Las Vegas, Nevada, USA",False,12,4,3,5,7,8,4,0,4,8,187.96,185.42,198.12,190.5,Catch Weight,3.18,3.44,0.45,0.8,3.41,1.79,0.47,0.1,Orthodox,Southpaw
10,Cody Durden,Joshua Van,142.0,-170.0,Blue,Joshua Van,U-DEC,No Finish,2024-12-07,"Las Vegas, Nevada, USA",False,6,1,1,4,4,4,1,0,3,1,170.18,165.1,170.18,165.1,Flyweight,3.35,4.36,0.5,0.9,8.39,1.62,0.53,0.0,Southpaw,Orthodox
11,Michael Chiesa,Max Griffin,-130.0,110.0,Red,Michael Chiesa,SUB,Rear Naked Choke,2024-12-07,"Las Vegas, Nevada, USA",False,12,0,7,5,7,8,3,0,5,8,185.42,180.34,190.5,193.04,Welterweight,1.86,3.35,0.4,1.0,3.92,1.45,0.49,0.3,Southpaw,Orthodox
12,Clay Guida,Chase Hooper,700.0,-1100.0,Blue,Chase Hooper,SUB,Armbar,2024-12-07,"Las Vegas, Nevada, USA",False,20,2,5,13,19,7,2,3,2,3,170.18,185.42,177.8,187.96,Lightweight,2.64,3.13,0.33,0.6,5.08,1.45,0.52,2.3,Orthodox,Southpaw
13,Kennedy Nzechukwu,Lukasz Brzeski,-550.0,410.0,Red,Kennedy Nzechukwu,KO/TKO,Punch,2024-12-07,"Las Vegas, Nevada, USA",False,9,6,1,2,5,2,0,1,1,4,195.58,193.04,210.82,198.12,Heavyweight,5.34,0.58,0.47,0.2,4.9,0.46,0.5,0.5,Southpaw,Orthodox
14,Petr Yan,Deiveson Figueiredo,-305.0,245.0,Red,Petr Yan,U-DEC,No Finish,2024-11-23,"Macau, China",False,9,4,0,5,4,13,4,4,5,3,170.18,165.1,170.18,172.72,Bantamweight,5.11,1.61,0.54,0.1,2.91,1.62,0.54,1.4,Switch,Orthodox
15,Yan Xiaonan,Tabatha Ricci,-198.0,164.0,Red,Yan Xiaonan,U-DEC,No Finish,2024-11-23,"Macau, China",False,8,1,0,7,3,6,0,1,5,2,165.1,154.94,160.02,154.94,Women's Strawweight,4.99,0.92,0.45,0.0,4.18,2.74,0.36,0.1,Orthodox,Orthodox
16,Song Kenan,Muslim Salikhov,-115.71147436914775,-230.0,Blue,Muslim Salikhov,KO/TKO,Kick,2024-11-23,"Macau, China",False,6,3,0,3,4,7,3,0,4,4,182.88,180.34,180.34,177.8,Welterweight,4.49,0.42,0.46,0.0,3.38,1.08,0.49,0.0,Orthodox,Orthodox
17,Wang Cong,Gabriella Fernandes,-950.0,750.0,Blue,Gabriella Fernandes,SUB,Rear Naked Choke,2024-11-23,"Macau, China",False,2,1,1,0,0,1,0,0,1,2,167.64,167.64,167.64,167.64,Women's Flyweight,5.81,1.16,0.46,2.3,3.46,0.56,0.46,0.3,Southpaw,Southpaw
18,Volkan Oezdemir,Carlos Ulberg,215.0,-265.0,Blue,Carlos Ulberg,U-DEC,No Finish,2024-11-23,"Macau, China",False,8,4,1,3,6,7,5,1,1,1,187.96,193.04,190.5,195.58,Light Heavyweight,4.95,0.5,0.48,0.1,7.2,0.72,0.56,0.2,Orthodox,Orthodox
