,fighter_name,win_loss,avg_str
0,Alexandre Pantoja,0.8,78.0
1,Shavkat Rakhmonov,1.0,4.12
2,Ciryl Gane,0.6522,21.1528
3,Bryce Mitchell,0.7778,38.0
4,Nate Landwehr,0.625,19.8418
5,Dominick Reyes,0.6364,43.3333
6,Vicente Luque,0.7143,38.8
7,Movsar Evloev,1.0,21.1528
8,Randy Brown,0.7222,48.0
9,Chris Weidman,0.6316,45.0
10,Cody Durden,0.6,3.35
11,Michael Chiesa,0.6316,21.8571
12,Clay Guida,0.5128,33.1
13,Kennedy Nzechukwu,0.6429,21.1528
14,Petr Yan,0.6923,70.25
15,Yan Xiaonan,0.7273,105.667
16,Song Kenan,0.6,23.0
17,Wang Cong,1.0,7.07
18,Volkan Oezdemir,0.5714,82.0
19,Zhang Mingyang,1.0,9.23
20,Baergeng Jieleyisi,0.6667,1.75
21,Kiru Sahota,1.0,4.05
22,Shi Ming,1.0,3.48
23,Nyamjargal Tumendemberel,1.0,3.13
24,Lone'er Kavanagh,1.0,3.62
25,Xiao Long,0.5,5.4
26,Maheshate,0.6,3.9
27,Jon Jones,0.913,62.0
28,Charles Oliveira,0.6875,25.3846
29,Bo Nickal,1.0,2.65
30,Viviane Araujo,0.5455,19.8418
31,Mauricio Ruffy,1.0,4.88
32,Jonathan Martinez,0.7143,71.0
33,Jim Miller,0.6047,30.7143
34,David Onama,0.6667,5.6
35,Marcin Tybura,0.6,58.2
36,Mickey Gall,0.5,21.1528
37,Bassil Hafez,0.5,4.23
38,Veronica Hardy,0.5,3.13
39,Neil Magny,0.6667,65.0
40,Gerald Meerschaert,0.5714,23.8
41,Gaston Bolanos,0.5,3.88
42,Luana Pinheiro,0.6667,5.52
43,Mansur Abdul-Malik,1.0,6.61
44,Karolina Kowalkiewicz,0.5294,92.5
45,Elizeu Zaleski dos Santos,0.7143,66.0
46,Matthew Semelsberger,0.5,7.93
47,Cody Stamann,0.5385,94.0
48,Tresean Gore,0.3333,3.04
49,Melissa Mullins,0.5,3.43
50,Brandon Moreno,0.6429,32.75
51,Erin Blanchfield,0.8571,8.0
52,Caio Machado,0.3333,6.07
53,Ariane da Silva,0.5,4.1
54,Marc-Andre Barriault,0.4167,21.1528
55,Mike Malott,0.8,3.85
56,Aiemann Zahabi,0.7143,45.0
57,Charles Jourdain,0.4615,19.8418
58,Jack Shore,0.75,4.03
59,Alexandr Romanov,0.6667,5.87
60,Serhiy Sidey,0.5,5.16
61,Chad Anheliger,0.6,3.6
62,Jamey-Lyn Horth,0.5,3.97
63,Ilia Topuria,1.0,4.69
64,Robert Whittaker,0.7727,83.0
65,Magomed Ankalaev,0.9091,59.0
66,Lerone Murphy,1.0,5.01
67,Shara Magomedov,1.0,6.88
68,Ibo Aslan,1.0,8.34
69,Geoff Neal,0.6667,36.5
70,Mateusz Rebecki,0.8,4.7
71,Abus Magomedov,0.5,2.88
72,Farid Basharat,1.0,4.47
73,Ismail Naurdiev,0.5,19.8418
74,Rinat Fakhretdinov,1.0,4.78
75,Anthony Hernandez,0.75,19.8418
76,Rob Font,0.5882,40.0
77,Charles Johnson,0.5556,4.83
78,Jake Hadley,0.5714,3.8
79,Darren Elkins,0.6429,38.3684
80,Matheus Nicolau,0.7,58.0
81,Brad Katona,0.5714,73.5
82,Joselyne Edwards,0.5,4.48
83,Jessica Penne,0.5,39.0
84,Melissa Martinez,0.0,3.9
85,Austen Lane,0.25,3.43
86,Brandon Royval,0.6667,4.46
87,Brad Tavares,0.625,48.5
88,Chidi Njokuani,0.5714,4.59
89,Grant Dawson,0.9091,57.0
90,Daniel Rodriguez,0.6667,8.6
91,CJ Vergara,0.5714,5.24
92,Jonathan Pearce,0.6667,11.21
93,Themba Gorimbo,0.8,3.11
94,Junior Tafa,0.25,3.36
95,Julia Polastri,0.3333,5.57
96,Dan Argueta,0.3333,2.48
97,Clayton Carpenter,1.0,4.56
98,Alex Pereira,0.8889,5.46
99,Raquel Pennington,0.7222,81.0
100,Jose Aldo,0.7586,94.0
101,Roman Dolidze,0.7,4.47
102,Ketlen Vieira,0.7273,42.0
103,Stephen Thompson,0.6316,51.3333
104,Marina Rodriguez,0.6667,60.0
105,Austin Hubbard,0.4444,19.8418
106,Cesar Almeida,0.6667,4.25
107,Ryan Spann,0.5714,46.0
108,Carla Esparza,0.6667,42.0
109,Court McGee,0.4545,80.5714
110,Renato Moicano,0.6875,77.4
111,Nassourdine Imavov,0.75,4.58
112,William Gomis,1.0,2.69
113,Kevin Jousset,1.0,8.23
114,Morgan Charriere,0.5,3.98
115,Fares Ziam,0.7143,2.92
116,Ion Cutelaba,0.4,56.5
117,Oumar Sy,1.0,4.81
118,Ludovit Klein,0.75,3.93
119,Taylor Lapilus,0.7143,80.0
120,Ailin Perez,0.75,2.91
121,Daniel Barez,0.0,4.1
122,Nora Cornolle,1.0,3.41
123,Bolaji Oki,1.0,5.63
124,Sean O'Malley,0.9167,141.0
125,Alexa Grasso,0.7273,72.5
126,Brian Ortega,0.7273,40.0
127,Daniel Zellhuber,0.8,6.26
128,Ronaldo Rodriguez,0.5,2.13
129,Irene Aldana,0.6154,108.0
130,Manuel Torres,1.0,8.14
131,Yazmin Jauregui,0.75,6.64
132,Edgar Chairez,0.3333,3.45
133,Raul Rosas Jr.,0.8,1.55
134,Gilbert Burns,0.6818,44.0
135,Jessica Andrade,0.6296,108.0
136,Steve Garcia,0.75,8.89
137,Matt Schnell,0.5,34.75
138,Trevor Peek,0.6,4.58
139,Rongzhu,0.6667,5.47
140,Isaac Dulgarian,0.5,3.37
141,Felipe dos Santos,0.5,4.53
142,Yizha,0.8333,2.82
143,Jaqueline Amorim,0.6667,3.33
144,Andre Petroski,0.75,3.48
145,Zygimantas Ramaska,,0.96
146,Jared Cannonier,0.5882,40.2
147,Angela Hill,0.48,107.0
148,Robert Valentin,,0.15
149,Kaan Ofli,,1.85
150,Edmen Shahbazyan,0.6364,22.0
151,Dennis Buzukja,0.4,4.21
152,Zachary Reese,0.6667,5.06
153,Viacheslav Borshchev,0.5,5.4
154,Jacqueline Cavalcanti,1.0,7.23
155,Dricus Du Plessis,1.0,6.18
156,Kai Kara-France,0.6364,86.0
157,Mateusz Gamrot,0.7778,4.26
158,Tai Tuivasa,0.5333,38.0
159,Li Jingliang,0.6471,61.0
160,Josh Culibao,0.5,3.41
161,Casey O'Neill,0.6667,7.89
162,Jack Jenkins,0.75,4.83
163,Tom Nolan,0.6667,6.68
164,Stewart Nicoll,,3.02
165,Damon Jackson,0.5455,19.8418
166,Danny Barlow,1.0,5.72
167,Chris Gutierrez,0.7273,26.0
168,Yana Santos,0.4444,4.42
169,Toshiomi Kazama,0.3333,1.72
170,Karol Rosa,0.6667,11.4
171,Jhonata Diniz,1.0,4.09
172,Youssef Zalal,0.625,3.2
173,Stephanie Luciano,,5.3
174,Cory Sandhagen,0.7692,80.0
175,Marlon Vera,0.6522,38.5556
176,Tony Ferguson,0.6923,55.4667
177,Mackenzie Dern,0.6154,70.0
178,Joel Alvarez,0.7143,38.0
179,Azamat Murzakanov,1.0,4.72
180,Mohammad Yahya,0.0,2.38
181,Shamil Gaziev,0.6667,2.43
182,Guram Kutateladze,0.3333,3.95
183,Viktoriia Dudakova,1.0,3.45
184,Jai Herbert,0.3333,3.16
185,Sedriques Dumas,0.6,2.15
186,Leon Edwards,0.875,34.0
