,fighter_name,win_loss,avg_td
0,Alexandre Pantoja,0.8,2.61
1,Shavkat Rakhmonov,1.0,1.49
2,Ciryl Gane,0.6522,2.37
3,Bryce Mitchell,0.7778,3.45
4,Nate Landwehr,0.625,1.0
5,Dominick Reyes,0.6364,1.32054
6,Vicente Luque,0.7143,1.3333
7,Movsar Evloev,1.0,4.75
8,Randy Brown,0.7222,1.32054
9,Chris Weidman,0.6316,5.0
10,Cody Durden,0.6,4.6
11,Michael Chiesa,0.6316,3.84
12,Clay Guida,0.5128,3.4
13,Kennedy Nzechukwu,0.6429,1.39996
14,Petr Yan,0.6923,2.14
15,Yan Xiaonan,0.7273,1.32054
16,Song Kenan,0.6,1.39996
17,Wang Cong,1.0,3.66
18,Volkan Oezdemir,0.5714,1.32054
19,Zhang Mingyang,1.0,0.0
20,Baergeng Jieleyisi,0.6667,1.65
21,Kiru Sahota,1.0,0.92
22,Shi Ming,1.0,0.37
23,Nyamjargal Tumendemberel,1.0,2.42
24,Lone'er Kavanagh,1.0,0.0
25,Xiao Long,0.5,1.0
26,Maheshate,0.6,0.0
27,Jon Jones,0.913,2.5
28,Charles Oliveira,0.6875,2.77
29,Bo Nickal,1.0,7.46
30,Viviane Araujo,0.5455,2.91
31,Mauricio Ruffy,1.0,0.0
32,Jonathan Martinez,0.7143,1.32054
33,Jim Miller,0.6047,2.5
34,David Onama,0.6667,0.73
35,Marcin Tybura,0.6,1.69
36,Mickey Gall,0.5,1.5
37,Bassil Hafez,0.5,3.0
38,Veronica Hardy,0.5,1.08
39,Neil Magny,0.6667,4.0
40,Gerald Meerschaert,0.5714,2.58
41,Gaston Bolanos,0.5,0.78
42,Luana Pinheiro,0.6667,10.61
43,Mansur Abdul-Malik,1.0,0.0
44,Karolina Kowalkiewicz,0.5294,1.32054
45,Elizeu Zaleski dos Santos,0.7143,1.39996
46,Matthew Semelsberger,0.5,1.97
47,Cody Stamann,0.5385,8.0
48,Tresean Gore,0.3333,3.46
49,Melissa Mullins,0.5,1.53
50,Brandon Moreno,0.6429,3.0
51,Erin Blanchfield,0.8571,3.0
52,Caio Machado,0.3333,0.0
53,Ariane da Silva,0.5,0.56
54,Marc-Andre Barriault,0.4167,1.39996
55,Mike Malott,0.8,3.04
56,Aiemann Zahabi,0.7143,1.39996
57,Charles Jourdain,0.4615,1.32054
58,Jack Shore,0.75,5.52
59,Alexandr Romanov,0.6667,6.41
60,Serhiy Sidey,0.5,0.0
61,Chad Anheliger,0.6,0.82
62,Jamey-Lyn Horth,0.5,1.0
63,Ilia Topuria,1.0,5.0
64,Robert Whittaker,0.7727,1.39996
65,Magomed Ankalaev,0.9091,1.32054
66,Lerone Murphy,1.0,1.78
67,Shara Magomedov,1.0,0.0
68,Ibo Aslan,1.0,0.0
69,Geoff Neal,0.6667,1.39996
70,Mateusz Rebecki,0.8,4.12
71,Abus Magomedov,0.5,3.12
72,Farid Basharat,1.0,3.97
73,Ismail Naurdiev,0.5,1.67
74,Rinat Fakhretdinov,1.0,4.43
75,Anthony Hernandez,0.75,6.64
76,Rob Font,0.5882,1.32054
77,Charles Johnson,0.5556,0.56
78,Jake Hadley,0.5714,0.33
79,Darren Elkins,0.6429,2.86
80,Matheus Nicolau,0.7,3.0
81,Brad Katona,0.5714,2.0
82,Joselyne Edwards,0.5,1.23
83,Jessica Penne,0.5,4.0
84,Melissa Martinez,0.0,1.0
85,Austen Lane,0.25,2.03
86,Brandon Royval,0.6667,1.81
87,Brad Tavares,0.625,3.0
88,Chidi Njokuani,0.5714,0.0
89,Grant Dawson,0.9091,6.0
90,Daniel Rodriguez,0.6667,4.0
91,CJ Vergara,0.5714,0.0
92,Jonathan Pearce,0.6667,7.17
93,Themba Gorimbo,0.8,4.89
94,Junior Tafa,0.25,0.0
95,Julia Polastri,0.3333,1.11
96,Dan Argueta,0.3333,4.45
97,Clayton Carpenter,1.0,2.95
98,Alex Pereira,0.8889,0.17
99,Raquel Pennington,0.7222,1.5
100,Jose Aldo,0.7586,5.0
101,Roman Dolidze,0.7,2.74
102,Ketlen Vieira,0.7273,4.0
103,Stephen Thompson,0.6316,1.32054
104,Marina Rodriguez,0.6667,0.48
105,Austin Hubbard,0.4444,1.75
106,Cesar Almeida,0.6667,0.0
107,Ryan Spann,0.5714,1.72
108,Carla Esparza,0.6667,5.0
109,Court McGee,0.4545,5.0
110,Renato Moicano,0.6875,1.89
111,Nassourdine Imavov,0.75,0.98
112,William Gomis,1.0,1.06
113,Kevin Jousset,1.0,1.51
114,Morgan Charriere,0.5,2.47
